Date,regime,volatility,drawdown,strategy_ret,failure,failure_prob_Logistic Regression,failure_prob_Random Forest,failure_prob_XGBoost
2020-11-12,1,0.016372859,-0.012240166,-0.009978532,0,0.39020373935251196,0.251064789322923,0.04493467
2020-11-13,1,0.015562017,0.0,0.013610335,0,0.39891103337801787,0.3447247441177656,0.025879148
2020-11-16,1,0.015554737,0.0,0.011648051,0,0.3701175024299222,0.2678783157263929,0.0072529376
2020-11-17,1,0.010939042,-0.004791926,-0.004791926,0,0.3183932391276106,0.25285603954759445,0.0014471792
2020-11-18,1,0.01190225,-0.016300342,-0.01156383,0,0.4573029647258779,0.3538122531482527,0.052440435
2020-11-19,1,0.010802007,-0.012418228,0.003946442,0,0.46285619340305495,0.31581839896065805,0.044805996
2020-11-20,1,0.011220869,-0.01912644,-0.006792563,0,0.41127441781082447,0.3191524851428634,0.07457282
2020-11-23,1,0.010626944,-0.013598304,0.005635931,0,0.4203282359002983,0.3463641750576276,0.20184061
2020-11-24,1,0.009969025,0.0,0.016161668,0,0.3010142041140525,0.19666922181070673,0.004906146
2020-11-25,1,0.008984973,-0.001584418,-0.001584418,0,0.32715897710599706,0.16705808547617298,0.0031145923
2020-11-27,1,0.0089512,0.0,0.002396979,0,0.34263480976558025,0.1519468621437548,0.0021553156
2020-11-30,1,0.008736182,-0.004595549,-0.004595549,0,0.3615703788938455,0.16583795537996965,0.045916248
2020-12-01,1,0.009067935,0.0,0.011271187,0,0.3715167965926254,0.17993973007265043,0.030800726
2020-12-02,1,0.008939122,0.0,0.001791167,0,0.29109314255190477,0.0897219830618278,0.001516592
2020-12-03,1,0.008307007,-0.000624157,-0.000624157,0,0.29936442740245933,0.06939979178039218,0.002193478
2020-12-04,1,0.007909065,0.0,0.008836275,0,0.3003597748795943,0.06579773143276527,0.0027632536
2020-12-07,1,0.007491872,-0.001935638,-0.001935638,0,0.2621956859321488,0.0972962435662936,0.005576923
2020-12-08,1,0.007289167,0.0,0.002787148,0,0.27673830765328805,0.08091918252810959,0.004414353
2020-12-09,1,0.006827338,-0.007949202,-0.007949202,0,0.28139786900570113,0.1278434184554832,0.021491144
2020-12-10,1,0.006861357,-0.009224094,-0.001285108,0,0.31013970592996887,0.14600610710194747,0.06427781
2020-12-11,1,0.00648225,-0.010477423,-0.001264997,0,0.2766672982585403,0.2225443332243634,0.055527855
2020-12-14,1,0.006613983,-0.014791008,-0.004359259,0,0.2881208810762486,0.19888358483808194,0.0717997
2020-12-15,1,0.006094043,-0.002060877,0.012921249,0,0.24472523876029761,0.07731367538750518,0.0064317826
2020-12-16,1,0.006043082,-0.000291736,0.001772795,0,0.2052541620988214,0.06664843168609834,0.0019100177
2020-12-17,1,0.006151017,0.0,0.005757655,0,0.24602767128261932,0.06521607303467317,0.003728768
2020-12-18,1,0.006072623,-0.003511119,-0.003511119,0,0.24847758072538714,0.08641761380278591,0.025060616
2020-12-21,1,0.005572261,-0.007403682,-0.003906279,0,0.27274051217843015,0.11434409470495226,0.051039495
2020-12-22,1,0.005606721,-0.009461426,-0.002073093,0,0.2623754542982746,0.11662545500092997,0.02319987
2020-12-23,1,0.005600005,-0.008722672,0.000745811,0,0.25267061310588085,0.09352901572319042,0.19306023
2020-12-24,1,0.005151929,-0.005216931,0.003536589,0,0.215199362228511,0.0966730272305037,0.030997787
2020-12-28,1,0.005598006,0.0,0.008722529,0,0.2074874999838975,0.04555869710910284,0.005951227
2020-12-29,1,0.00562486,-0.002227381,-0.002227381,0,0.2060241293755263,0.05414814332006506,0.0076285414
2020-12-30,1,0.005073462,-0.000888821,0.001341547,0,0.23437594784789764,0.052197404736569745,0.008357
2020-12-31,1,0.005205934,0.0,0.006438846,0,0.22359413803180875,0.04753110001588547,0.005865939
2021-01-04,1,0.006802022,-0.014754828,-0.014754828,0,0.28888171876334223,0.18868220155685034,0.021055752
2021-01-05,1,0.006829116,-0.007776735,0.007082595,0,0.312630966193312,0.18896515967472177,0.06286336
2021-01-06,1,0.006143881,-0.002111296,0.005709843,0,0.21096163648797361,0.09626062618003023,0.0034951828
2021-01-07,1,0.00717083,0.0,0.014847404,0,0.23044628244165477,0.09600334820206544,0.0058858376
2021-01-08,1,0.007160402,0.0,0.005491863,0,0.2121418284665577,0.09324096948719361,0.00092468597
2021-01-11,1,0.007382076,-0.006554751,-0.006554751,0,0.2813433454676478,0.1684436163939455,0.029402977
2021-01-12,1,0.007216164,-0.006141688,0.000415788,0,0.31182230415746365,0.12277641082291496,0.057022404
2021-01-13,1,0.007117883,-0.003880022,0.002275642,0,0.2741185826401732,0.11449341792508803,0.031747926
2021-01-14,1,0.007295827,-0.00761891,-0.003753451,0,0.27586309271724746,0.10948385089108387,0.034208417
2021-01-15,1,0.007679804,-0.014754158,-0.007190028,0,0.3252541683799512,0.2206678129366889,0.17829518
2021-01-19,1,0.007637559,-0.006737824,0.00813638,0,0.2929605001822872,0.11273337581589696,0.0111775985
2021-01-20,1,0.008269723,0.0,0.013935625,0,0.25446419378058593,0.09512841252818661,0.007855402
2021-01-21,1,0.008284215,0.0,0.000316723,0,0.2532456975028697,0.0917987540693864,0.001584793
2021-01-22,1,0.008307217,-0.003010612,-0.003010612,0,0.32905903536019154,0.14958848482984272,0.052013177
2021-01-25,1,0.006839742,0.0,0.003615839,0,0.29646240663460394,0.10267705531301986,0.02224724
2021-01-26,1,0.006825107,-0.001488834,-0.001488834,1,0.2626561995304693,0.07406334685977577,0.005157078
2021-01-27,1,0.010033736,-0.027128487,-0.025677884,0,0.41121865669876084,0.4554281975683023,0.6415263
