Date,regime,volatility,drawdown,strategy_ret,failure,failure_prob_Logistic Regression,failure_prob_Random Forest,failure_prob_XGBoost
2020-11-13,1,0.0155620173482503,0.0,0.0136103354090635,0,0.37511405520940977,0.3412470071295777,0.05369229
2020-11-16,1,0.0155547372466841,0.0,0.0116480512400123,0,0.3740083232109772,0.28539431886973327,0.013056866
2020-11-17,1,0.0109390421383407,-0.0047919256980915,-0.0047919256980916,0,0.3537210150980943,0.2609334266456329,0.0015881563
2020-11-18,1,0.0119022500991644,-0.0163003422967546,-0.011563829610944,0,0.49247695941436453,0.35837878954112184,0.07641689
2020-11-19,1,0.0108020072581886,-0.0124182281924064,0.0039464424674215,0,0.4660359129294608,0.32224063591613805,0.13640544
2020-11-20,1,0.0112208692562319,-0.0191264395112946,-0.0067925629151801,0,0.4391129803817124,0.33698886113123167,0.054318722
2020-11-23,1,0.010626944253048,-0.0135983041801184,0.0056359306172162,0,0.43088852390351856,0.34211237804647776,0.22227892
2020-11-24,1,0.0099690246269398,0.0,0.0161616682734162,0,0.2965876281023801,0.20604258466369674,0.0048248633
2020-11-25,1,0.0089849732122734,-0.0015844182375249,-0.0015844182375249,0,0.34324541568070216,0.1928935701163145,0.0012810437
2020-11-27,1,0.0089511998870223,0.0,0.0023969791981541,0,0.34751505935980137,0.17575185833445392,0.0011132302
2020-11-30,1,0.0087361817908569,-0.0045955486401709,-0.0045955486401709,0,0.3598725860607325,0.17455179898295578,0.026115596
2020-12-01,1,0.0090679349593509,0.0,0.0112711871947761,0,0.3548449384039396,0.1986239593634552,0.012657475
2020-12-02,1,0.0089391223516614,0.0,0.0017911667548251,0,0.2909647194430256,0.10687206813677243,0.00080162747
2020-12-03,1,0.0083070069899828,-0.0006241572130914,-0.0006241572130915,0,0.3080972807171932,0.06868780919609369,0.0023694672
2020-12-04,1,0.0079090647587853,0.0,0.0088362751296118,0,0.30298821295813,0.058236736292536895,0.0030354776
2020-12-07,1,0.0074918721774104,-0.0019356376714373,-0.0019356376714373,0,0.27930413083042177,0.08502398627662303,0.004689675
2020-12-08,1,0.007289166857236,0.0,0.0027871480653562,0,0.2880129093259679,0.07511849862063923,0.004974527
2020-12-09,1,0.0068273382663228,-0.0079492016045985,-0.0079492016045985,0,0.29742311961734624,0.11898967765536166,0.011394384
2020-12-10,1,0.0068613571705191,-0.0092240940897427,-0.0012851080682624,0,0.3196372378233933,0.14627959191076978,0.030585606
2020-12-11,1,0.0064822498192147,-0.0104774229353771,-0.0012649972997506,0,0.2835997152764357,0.19813872107171546,0.03844841
2020-12-14,1,0.0066139833155883,-0.0147910081074009,-0.0043592589719577,0,0.30668861839376427,0.19825323395939462,0.06054374
2020-12-15,1,0.0060940432910005,-0.002060877253697,0.0129212491547088,0,0.2393323936196836,0.08948816561897682,0.004244049
2020-12-16,1,0.0060430818124999,-0.0002917355999729,0.001772795166959,0,0.21065873885192657,0.06755146999647696,0.0010259486
2020-12-17,1,0.0061510171200094,0.0,0.0057576547533797,0,0.25173142993234343,0.058529240485170914,0.0021815628
2020-12-18,1,0.0060726231011113,-0.0035111185091529,-0.0035111185091528,0,0.25390153548678707,0.09004777151260267,0.0088250665
2020-12-21,1,0.0055722607446226,-0.0074036821523159,-0.0039062790518439,0,0.27635298337338793,0.11316925127640748,0.073778786
2020-12-22,1,0.0056067211291709,-0.0094614264919941,-0.002073092860288,0,0.25991299603541784,0.11739472862917918,0.020855846
2020-12-23,1,0.0056000047938009,-0.0087226716794958,0.0007458112508249,0,0.2533855622156307,0.09286038511242542,0.14396612
2020-12-24,1,0.0051519285756166,-0.0052169311794538,0.0035365890047962,0,0.21539977695038015,0.10528898086157355,0.020284003
2020-12-28,1,0.0055980064909854,0.0,0.0087225290211445,0,0.20719858893076393,0.04893979658860503,0.0057798056
2020-12-29,1,0.005624859900781,-0.0022273805256001,-0.0022273805256001,0,0.21659528021169458,0.053840186728814944,0.006310889
2020-12-30,1,0.0050734624282998,-0.0008888214961599,0.0013415471654707,0,0.23630111238451051,0.052053484517044876,0.004162507
2020-12-31,1,0.005205934053987,0.0,0.0064388455229198,0,0.22143144816515745,0.04610084674004026,0.006917307
2021-01-04,1,0.0068020217689656,-0.014754827521051,-0.014754827521051,0,0.31169699718277144,0.1942679022389498,0.033786617
2021-01-05,1,0.0068291162268494,-0.0077767348334528,0.0070825951575492,0,0.305529993610017,0.16512534817674168,0.09052677
2021-01-06,1,0.0061438806961103,-0.0021112960186905,0.0057098427477522,0,0.2072508859179027,0.09025618425646609,0.0030493017
2021-01-07,1,0.0071708303126135,0.0,0.0148474038001011,0,0.23848138470302144,0.09909367821630778,0.007063277
2021-01-08,1,0.0071604016790768,0.0,0.0054918626852689,0,0.22855512641003992,0.09524608401980593,0.00084106316
2021-01-11,1,0.0073820760727016,-0.0065547508985924,-0.0065547508985924,0,0.30739192430056544,0.1840746284552888,0.018062133
2021-01-12,1,0.0072161637485324,-0.0061416878416539,0.0004157884466327,0,0.31514767255587306,0.12084236156220204,0.04188573
2021-01-13,1,0.0071178827193874,-0.0038800223849409,0.0022756417379066,0,0.27294358233158217,0.09445087899223885,0.020313298
2021-01-14,1,0.0072958274595054,-0.0076189101046228,-0.0037534511943366,0,0.2863853570471092,0.10188376033317165,0.022307547
2021-01-15,1,0.0076798040391832,-0.0147541579031997,-0.0071900279753709,0,0.33885996453035727,0.2228409640743487,0.14800563
2021-01-19,1,0.0076375590324302,-0.0067378238158077,0.0081363795155244,0,0.29067920502127037,0.11270560302743289,0.013483077
