,risk_probability,drawdown_risk,regime
3570,0.4254426398241891,0,Calm
3571,0.4000010346749206,0,Calm
3572,0.4194546572973465,0,Calm
3573,0.4049051948033585,0,Calm
3574,0.4241124253340157,0,Calm
3575,0.3551959240584169,0,Calm
3576,0.41140432857029885,0,Calm
3577,0.35217642435303415,0,Calm
3578,0.1813685244379817,0,Calm
3579,0.13926671775774324,0,Calm
3580,0.15363960120388848,0,Calm
3581,0.12741126060679603,0,Calm
3582,0.11436834239973284,0,Calm
3583,0.10807672324383907,0,Calm
3584,0.10706617021832605,0,Calm
3585,0.16984060136159354,0,Calm
3586,0.18613993375559912,0,Calm
3587,0.1889381928570783,0,Calm
3588,0.24058541775346387,1,Calm
3589,0.5981668373813264,1,Calm
3590,0.5130604420866492,1,Calm
3591,0.5232471176895723,1,Calm
3592,0.5939042767366743,1,Calm
3593,0.9084329636200246,1,Calm
3594,0.7969291200848001,1,Calm
3595,0.7522825760045041,1,Calm
3596,0.6723570209238011,1,Calm
3597,0.7662867907630917,1,Calm
3598,0.6212848472581405,1,Calm
3599,0.6140360851684096,1,Calm
3600,0.6995597837425748,1,Calm
3601,0.8748437039929592,1,Calm
3602,0.8302998762099442,1,Calm
3603,0.8482908296836137,1,Calm
3604,0.9180873690665651,1,Calm
3605,0.8983422935840079,1,Calm
3606,0.9189384149634637,1,Calm
3607,0.915222732232762,1,Calm
3608,0.8680325043088196,1,Calm
3609,0.7317445751762264,1,Calm
3610,0.7061720165941606,1,Calm
3611,0.4908699688350066,1,Calm
3612,0.4130484482214118,1,Calm
3613,0.41487723499442797,1,Calm
3614,0.5147463371890673,0,Calm
3615,0.5318636095727033,0,Calm
3616,0.6381266242768039,0,Calm
3617,0.6573657967735946,0,Calm
3618,0.551918762818204,0,Calm
3619,0.4793504228581835,0,Calm
3620,0.43474589536576796,0,Calm
3621,0.3507719763367291,0,Calm
3622,0.3853082727785092,0,Calm
3623,0.6025341464817565,0,Calm
3624,0.6132442110772978,0,Calm
3625,0.6697376727086216,0,Calm
3626,0.46947552983849095,0,Calm
3627,0.3536537277386936,0,Calm
3628,0.13249246452768806,0,Calm
3629,0.0928342300858058,0,Calm
3630,0.11983244921139714,0,Calm
3631,0.17371609141714422,0,Calm
3632,0.21470187331941476,0,Calm
3633,0.20332447834728493,0,Calm
3634,0.23432285780487075,0,Calm
3635,0.18875263811948378,0,Calm
3636,0.15336913518925321,0,Calm
3637,0.1951143775499702,0,Calm
3638,0.2873646652445227,0,Calm
3639,0.27709774014221245,0,Calm
3640,0.3695979122922983,0,Calm
3641,0.3428190269462343,0,Calm
3642,0.2630501955202611,0,Calm
3643,0.13466712615193735,0,Calm
3644,0.2062830450342094,0,Calm
3645,0.13445809774616638,0,Calm
3646,0.15746376581671123,0,Calm
3647,0.20831734210435343,0,Calm
3648,0.4294239745710394,1,Calm
3649,0.48625787447208124,1,Calm
3650,0.6676939097209393,1,Calm
3651,0.9938232208995296,1,Volatile
3652,0.9591168945117271,1,Calm
3653,0.9312562370187193,1,Calm
3654,0.8738099412354282,1,Calm
3655,0.872158461723867,1,Calm
3656,0.7904102632903383,1,Calm
3657,0.8266556241260564,1,Calm
3658,0.9951747703022862,1,Volatile
3659,0.9886565706337315,1,Calm
3660,0.9776669226519927,1,Calm
3661,0.9460908107355741,1,Calm
3662,0.9796436625836346,1,Calm
3663,0.908268666968743,1,Calm
3664,0.9166463061971207,1,Calm
3665,0.9980832334820637,1,Volatile
3666,0.9925656297605229,1,Calm
3667,0.9909065424440953,1,Calm
3668,0.9911719893561194,1,Calm
3669,0.9854426386073667,1,Calm
3670,0.9523824745858016,1,Calm
3671,0.9465946788853848,1,Calm
3672,0.901882355831634,0,Calm
3673,0.8862839739576885,0,Calm
3674,0.9069024113493435,0,Calm
3675,0.9033080214401454,0,Calm
3676,0.8438857596609932,0,Calm
3677,0.8436684854008188,0,Calm
3678,0.6879821227410766,0,Calm
3679,0.7082381595545748,0,Calm
3680,0.7074877488798991,0,Calm
3681,0.6544864116656807,0,Calm
3682,0.685972430181243,0,Calm
3683,0.7017971146819755,0,Calm
3684,0.7508674319680113,0,Calm
3685,0.3660677130062541,0,Calm
3686,0.5085512962233439,0,Calm
3687,0.43789407255063284,0,Calm
3688,0.4656965218512318,1,Calm
3689,0.42321646162563464,0,Calm
3690,0.37842332614615937,1,Calm
3691,0.48606423403425164,1,Calm
3692,0.8125462739702584,1,Calm
3693,0.6865815793699479,1,Calm
3694,0.588009716059026,1,Calm
3695,0.691699764517262,1,Calm
3696,0.7956682389155806,1,Calm
3697,0.5602876985400075,1,Calm
3698,0.5923025769854747,0,Calm
3699,0.6725571136306887,0,Calm
3700,0.6392562441738956,0,Calm
3701,0.4010163876144061,0,Calm
3702,0.5228103207064757,0,Calm
3703,0.5641138840827727,0,Calm
3704,0.7087694469261836,0,Calm
3705,0.6423255662730618,0,Calm
3706,0.7444488911895188,0,Calm
3707,0.694938586185264,0,Calm
3708,0.6987275194329644,0,Calm
3709,0.6063646933421153,0,Calm
3710,0.6210670885551528,0,Calm
3711,0.5145815176412014,0,Calm
3712,0.322926084175267,0,Calm
3713,0.37634651624662285,0,Calm
3714,0.283388527913146,0,Calm
3715,0.27850109870743783,0,Calm
3716,0.1467888406337258,0,Calm
3717,0.15000591137581362,0,Calm
3718,0.1167853122825605,0,Calm
3719,0.12533807820129392,0,Calm
3720,0.15706143431555006,0,Calm
3721,0.11673357381300399,0,Calm
3722,0.11125739990534239,0,Calm
3723,0.11987230737318649,0,Calm
3724,0.09595314793099832,0,Calm
